id_tipo_renta_tamanohogar,id_tamano_hogar_renta,Anyo,Valor
1,1,2024,14807.0
1,1,2023,14082.0
1,1,2022,13008.0
1,1,2021,12269.0
1,1,2020,12292.0
1,1,2019,11680.0
1,1,2018,11412.0
1,1,2017,11074.0
1,1,2016,10708.0
1,1,2015,10419.0
1,1,2014,10391.0
1,1,2013,10531.0
1,1,2012,10795.0
1,1,2011,10858.0
1,1,2010,11284.0
1,1,2009,11318.0
1,1,2008,10737.0
2,1,2024,21759.0
2,1,2023,20676.0
2,1,2022,19160.0
2,1,2021,18103.0
2,1,2020,18116.0
2,1,2019,17287.0
2,1,2018,16937.0
2,1,2017,16390.0
2,1,2016,15842.0
2,1,2015,15408.0
2,1,2014,15405.0
2,1,2013,15635.0
2,1,2012,16119.0
2,1,2011,16280.0
2,1,2010,16922.0
2,1,2009,17042.0
2,1,2008,16190.0
3,1,2024,16917.0
3,1,2023,16180.0
3,1,2022,15086.0
3,1,2021,14255.0
3,1,2020,14212.0
3,1,2019,13549.0
3,1,2018,13223.0
3,1,2017,12841.0
3,1,2016,12347.0
3,1,2015,11992.0
3,1,2014,12021.0
3,1,2013,11997.0
3,1,2012,12327.0
3,1,2011,12483.0
3,1,2010,12933.0
3,1,2009,12790.0
3,1,2008,12237.0
4,1,2024,24666.0
4,1,2023,23574.0
4,1,2022,22054.0
4,1,2021,20874.0
4,1,2020,20800.0
4,1,2019,19903.0
4,1,2018,19479.0
4,1,2017,18863.0
4,1,2016,18137.0
4,1,2015,17612.0
4,1,2014,17684.0
4,1,2013,17694.0
4,1,2012,18268.0
4,1,2011,18584.0
4,1,2010,19252.0
4,1,2009,19124.0
4,1,2008,18322.0
1,2,2024,20294.0
1,2,2023,19315.0
1,2,2022,17800.0
1,2,2021,16659.0
1,2,2020,17082.0
1,2,2019,16042.0
1,2,2018,15656.0
1,2,2017,15424.0
1,2,2016,15187.0
1,2,2015,14938.0
1,2,2014,14565.0
1,2,2013,14927.0
1,2,2012,15111.0
1,2,2011,14989.0
1,2,2010,15625.0
1,2,2009,15659.0
1,2,2008,14802.0
2,2,2024,20294.0
2,2,2023,19315.0
2,2,2022,17800.0
2,2,2021,16659.0
2,2,2020,17082.0
2,2,2019,16042.0
2,2,2018,15656.0
2,2,2017,15424.0
2,2,2016,15187.0
2,2,2015,14938.0
2,2,2014,14565.0
2,2,2013,14927.0
2,2,2012,15111.0
2,2,2011,14989.0
2,2,2010,15625.0
2,2,2009,15659.0
2,2,2008,14802.0
3,2,2024,25350.0
3,2,2023,24355.0
3,2,2022,22711.0
3,2,2021,21359.0
3,2,2020,21669.0
3,2,2019,20502.0
3,2,2018,19950.0
3,2,2017,19696.0
3,2,2016,19183.0
3,2,2015,18750.0
3,2,2014,18649.0
3,2,2013,18626.0
3,2,2012,19144.0
3,2,2011,19074.0
3,2,2010,19996.0
3,2,2009,19648.0
3,2,2008,18809.0
4,2,2024,25350.0
4,2,2023,24355.0
4,2,2022,22711.0
4,2,2021,21359.0
4,2,2020,21669.0
4,2,2019,20502.0
4,2,2018,19950.0
4,2,2017,19696.0
4,2,2016,19183.0
4,2,2015,18750.0
4,2,2014,18649.0
4,2,2013,18626.0
4,2,2012,19144.0
4,2,2011,19074.0
4,2,2010,19996.0
4,2,2009,19648.0
4,2,2008,18809.0
1,3,2024,18149.0
1,3,2023,17127.0
1,3,2022,15809.0
1,3,2021,15184.0
1,3,2020,15222.0
1,3,2019,14098.0
1,3,2018,13524.0
1,3,2017,13275.0
1,3,2016,13034.0
1,3,2015,12669.0
1,3,2014,12604.0
1,3,2013,12949.0
1,3,2012,13119.0
1,3,2011,13018.0
1,3,2010,13758.0
1,3,2009,13756.0
1,3,2008,13148.0
2,3,2024,24261.0
2,3,2023,22894.0
2,3,2022,21131.0
2,3,2021,20291.0
2,3,2020,20349.0
2,3,2019,18853.0
2,3,2018,18093.0
2,3,2017,17758.0
2,3,2016,17435.0
2,3,2015,16947.0
2,3,2014,16868.0
2,3,2013,17317.0
2,3,2012,17551.0
2,3,2011,17411.0
2,3,2010,18383.0
2,3,2009,18385.0
2,3,2008,17565.0
3,3,2024,20993.0
3,3,2023,19824.0
3,3,2022,18453.0
3,3,2021,17752.0
3,3,2020,17682.0
3,3,2019,16534.0
3,3,2018,15839.0
3,3,2017,15521.0
3,3,2016,15113.0
3,3,2015,14684.0
3,3,2014,14736.0
3,3,2013,14892.0
3,3,2012,15184.0
3,3,2011,15215.0
3,3,2010,16005.0
3,3,2009,15731.0
3,3,2008,15171.0
4,3,2024,28067.0
4,3,2023,26502.0
4,3,2022,24668.0
4,3,2021,23725.0
4,3,2020,23642.0
4,3,2019,22117.0
4,3,2018,21196.0
4,3,2017,20767.0
4,3,2016,20217.0
4,3,2015,19642.0
4,3,2014,19724.0
4,3,2013,19918.0
4,3,2012,20315.0
4,3,2011,20352.0
4,3,2010,21387.0
4,3,2009,21026.0
4,3,2008,20269.0
1,4,2024,14875.0
1,4,2023,13866.0
1,4,2022,12634.0
1,4,2021,11812.0
1,4,2020,11878.0
1,4,2019,11545.0
1,4,2018,11305.0
1,4,2017,10951.0
1,4,2016,10368.0
1,4,2015,10368.0
1,4,2014,10427.0
1,4,2013,10521.0
1,4,2012,11123.0
1,4,2011,11114.0
1,4,2010,11644.0
1,4,2009,11634.0
1,4,2008,10925.0
2,4,2024,23022.0
2,4,2023,21518.0
2,4,2022,19626.0
2,4,2021,18340.0
2,4,2020,18470.0
2,4,2019,17985.0
2,4,2018,17654.0
2,4,2017,17128.0
2,4,2016,16213.0
2,4,2015,16216.0
2,4,2014,16295.0
2,4,2013,16428.0
2,4,2012,17341.0
2,4,2011,17359.0
2,4,2010,18141.0
2,4,2009,18104.0
2,4,2008,17020.0
3,4,2024,16654.0
3,4,2023,15638.0
3,4,2022,14369.0
3,4,2021,13455.0
3,4,2020,13468.0
3,4,2019,13102.0
3,4,2018,12828.0
3,4,2017,12428.0
3,4,2016,11738.0
3,4,2015,11698.0
3,4,2014,11764.0
3,4,2013,11737.0
3,4,2012,12406.0
3,4,2011,12492.0
3,4,2010,13084.0
3,4,2009,12953.0
3,4,2008,12281.0
4,4,2024,25770.0
4,4,2023,24262.0
4,4,2022,22323.0
4,4,2021,20890.0
4,4,2020,20942.0
4,4,2019,20410.0
4,4,2018,20030.0
4,4,2017,19433.0
4,4,2016,18353.0
4,4,2015,18291.0
4,4,2014,18377.0
4,4,2013,18319.0
4,4,2012,19335.0
4,4,2011,19507.0
4,4,2010,20383.0
4,4,2009,20148.0
4,4,2008,19125.0
1,5,2024,12679.0
1,5,2023,12041.0
1,5,2022,11181.0
1,5,2021,10544.0
1,5,2020,10540.0
1,5,2019,9850.0
1,5,2018,9623.0
1,5,2017,9334.0
1,5,2016,8938.0
1,5,2015,8560.0
1,5,2014,8620.0
1,5,2013,8719.0
1,5,2012,8902.0
1,5,2011,9285.0
1,5,2010,9761.0
1,5,2009,10025.0
1,5,2008,9682.0
2,5,2024,21674.0
2,5,2023,20672.0
2,5,2022,19303.0
2,5,2021,18267.0
2,5,2020,18209.0
2,5,2019,17074.0
2,5,2018,16745.0
2,5,2017,16201.0
2,5,2016,15552.0
2,5,2015,14901.0
2,5,2014,14939.0
2,5,2013,15129.0
2,5,2012,15446.0
2,5,2011,15980.0
2,5,2010,16797.0
2,5,2009,17276.0
2,5,2008,16591.0
3,5,2024,13998.0
3,5,2023,13352.0
3,5,2022,12529.0
3,5,2021,11841.0
3,5,2020,11814.0
3,5,2019,11027.0
3,5,2018,10789.0
3,5,2017,10467.0
3,5,2016,9976.0
3,5,2015,9556.0
3,5,2014,9643.0
3,5,2013,9647.0
3,5,2012,9847.0
3,5,2011,10367.0
3,5,2010,10826.0
3,5,2009,11001.0
3,5,2008,10719.0
4,5,2024,23929.0
4,5,2023,22924.0
4,5,2022,21633.0
4,5,2021,20517.0
4,5,2020,20418.0
4,5,2019,19119.0
4,5,2018,18773.0
4,5,2017,18170.0
4,5,2016,17353.0
4,5,2015,16633.0
4,5,2014,16709.0
4,5,2013,16743.0
4,5,2012,17086.0
4,5,2011,17851.0
4,5,2010,18636.0
4,5,2009,18957.0
4,5,2008,18374.0
1,6,2024,9733.0
1,6,2023,8923.0
1,6,2022,8485.0
1,6,2021,7914.0
1,6,2020,7679.0
1,6,2019,7707.0
1,6,2018,7856.0
1,6,2017,7153.0
1,6,2016,7137.0
1,6,2015,6693.0
1,6,2014,6743.0
1,6,2013,6674.0
1,6,2012,7207.0
1,6,2011,7606.0
1,6,2010,7549.0
1,6,2009,7761.0
1,6,2008,7422.0
2,6,2024,17803.0
2,6,2023,16463.0
2,6,2022,15670.0
2,6,2021,14591.0
2,6,2020,14194.0
2,6,2019,14333.0
2,6,2018,14566.0
2,6,2017,13276.0
2,6,2016,13151.0
2,6,2015,12315.0
2,6,2014,12475.0
2,6,2013,12313.0
2,6,2012,13355.0
2,6,2011,14001.0
2,6,2010,13791.0
2,6,2009,14078.0
2,6,2008,13397.0
3,6,2024,10530.0
3,6,2023,9719.0
3,6,2022,9353.0
3,6,2021,8740.0
3,6,2020,8479.0
3,6,2019,8502.0
3,6,2018,8636.0
3,6,2017,7886.0
3,6,2016,7880.0
3,6,2015,7387.0
3,6,2014,7442.0
3,6,2013,7294.0
3,6,2012,7844.0
3,6,2011,8338.0
3,6,2010,8244.0
3,6,2009,8396.0
3,6,2008,8074.0
4,6,2024,19262.0
4,6,2023,17936.0
4,6,2022,17279.0
4,6,2021,16118.0
4,6,2020,15680.0
4,6,2019,15820.0
4,6,2018,16012.0
4,6,2017,14632.0
4,6,2016,14518.0
4,6,2015,13589.0
4,6,2014,13761.0
4,6,2013,13453.0
4,6,2012,14526.0
4,6,2011,15339.0
4,6,2010,15063.0
4,6,2009,15224.0
4,6,2008,14570.0
